school,sex,age,address,Mjob,Fjob,studytime,absences,G1,G2,G3
,F,18.0,U,at_home,teacher,,6,5,6,6
GP,F,17.0,U,at_home,other,2.0,4,5,5,6
GP,F,15.0,U,at_home,other,2.0,10,7,8,10
GP,F,15.0,U,health,services,3.0,2,15,14,15
GP,F,16.0,U,other,other,2.0,4,6,10,10
GP,M,16.0,U,services,other,2.0,10,15,15,15
GP,M,16.0,U,other,other,2.0,0,12,12,11
GP,F,17.0,U,other,teacher,2.0,6,6,5,6
GP,M,15.0,U,services,other,2.0,0,16,18,19
,M,,U,other,other,,0,14,15,15
GP,F,15.0,U,teacher,health,2.0,0,10,8,9
GP,F,15.0,U,services,other,3.0,4,10,12,12
GP,M,15.0,U,health,services,1.0,2,14,14,14
GP,M,15.0,U,teacher,other,2.0,2,10,10,11
GP,M,15.0,U,other,other,3.0,0,14,16,16
,F,16.0,U,health,other,,4,14,14,14
GP,F,16.0,U,services,services,3.0,6,13,14,14
GP,F,16.0,U,other,other,2.0,4,8,10,10
GP,M,17.0,U,services,services,1.0,16,6,5,5
GP,M,16.0,U,health,other,1.0,4,8,10,10
GP,M,15.0,U,teacher,other,2.0,0,13,14,15
GP,M,15.0,U,health,health,1.0,0,12,15,15
GP,M,16.0,U,teacher,other,,2,15,15,16
GP,M,16.0,U,other,other,2.0,0,13,13,12
GP,F,15.0,R,services,health,3.0,2,10,9,8
GP,F,16.0,U,services,services,,14,6,9,8
GP,M,15.0,U,other,other,1.0,2,12,12,11
GP,M,15.0,U,health,services,1.0,4,15,16,15
GP,M,16.0,U,services,other,2.0,4,11,11,11
GP,M,16.0,U,teacher,teacher,2.0,16,10,12,11
GP,M,15.0,U,health,services,,0,9,11,12
GP,M,15.0,U,services,services,,0,17,16,17
GP,M,15.0,R,teacher,at_home,2.0,0,17,16,16
,M,15.0,U,other,other,,0,8,10,12
GP,M,16.0,U,other,other,1.0,0,12,14,15
GP,F,15.0,U,other,other,1.0,0,8,7,6
GP,M,15.0,U,teacher,services,3.0,2,15,16,18
GP,M,16.0,R,other,teacher,3.0,7,15,16,15
GP,F,15.0,R,services,health,3.0,2,12,12,11
GP,F,15.0,R,at_home,other,7.0,8,14,13,13
GP,F,16.0,U,other,other,2.0,25,7,10,11
GP,M,15.0,U,teacher,other,1.0,8,12,12,12
,M,,U,services,teacher,,2,19,18,18
GP,M,15.0,U,services,services,1.0,0,8,8,11
GP,F,16.0,U,other,at_home,2.0,14,10,10,9
GP,F,15.0,U,other,other,2.0,8,8,8,6
GP,F,16.0,U,other,services,,12,11,12,11
GP,M,16.0,U,health,services,4.0,4,19,19,20
GP,M,15.0,U,teacher,other,2.0,2,15,15,14
GP,F,15.0,U,services,teacher,2.0,2,7,7,7
GP,F,16.0,U,services,services,2.0,2,12,13,13
GP,F,15.0,U,health,other,2.0,2,11,13,13
GP,M,15.0,U,health,health,1.0,6,11,11,10
GP,F,15.0,U,services,services,1.0,0,8,10,11
GP,F,15.0,U,other,other,1.0,6,10,13,13
,F,,U,other,other,,8,8,9,10
GP,F,15.0,U,services,services,,0,14,15,15
GP,M,15.0,U,teacher,health,,4,14,15,15
GP,M,15.0,U,other,at_home,2.0,2,9,10,9
GP,F,16.0,U,services,other,2.0,2,15,16,16
GP,F,16.0,R,health,teacher,2.0,6,10,11,11
GP,F,16.0,U,services,services,1.0,6,10,8,11
GP,F,16.0,U,other,services,2.0,4,8,10,9
GP,F,16.0,U,teacher,health,3.0,2,10,9,9
GP,F,15.0,U,services,services,2.0,0,10,10,10
GP,F,16.0,U,teacher,services,2.0,2,16,15,15
GP,M,15.0,U,other,services,4.0,4,13,13,12
GP,F,16.0,U,services,other,4.0,4,7,7,6
GP,F,15.0,R,health,services,2.0,2,8,9,8
GP,F,15.0,R,other,other,4.0,12,16,16,16
GP,M,16.0,U,other,other,4.0,0,13,15,15
GP,M,15.0,U,other,other,4.0,0,10,10,10
GP,F,15.0,R,other,other,,2,8,6,5
GP,M,16.0,U,other,other,,2,12,12,14
GP,F,16.0,U,other,services,2.0,54,11,12,11
GP,M,15.0,U,teacher,other,2.0,6,9,9,10
,M,15.0,U,teacher,other,,8,11,11,10
,F,16.0,U,other,other,,0,11,11,11
,M,24.0,U,other,other,,2,8,8,10
GP,F,16.0,U,at_home,other,2.0,12,5,5,5
GP,M,15.0,U,other,services,1.0,2,10,12,12
GP,M,15.0,U,other,other,3.0,4,11,10,11
GP,F,15.0,U,services,other,2.0,10,7,6,6
GP,M,15.0,U,services,services,2.0,4,15,15,15
GP,F,15.0,U,other,other,2.0,2,9,10,10
GP,F,15.0,U,services,services,2.0,6,7,9,8
GP,F,16.0,U,at_home,other,2.0,4,8,7,6
GP,F,15.0,U,other,other,3.0,4,13,14,14
GP,M,16.0,U,services,other,2.0,12,11,10,10
GP,M,16.0,U,teacher,health,2.0,18,8,6,7
GP,F,16.0,U,other,other,,0,7,7,8
GP,F,15.0,U,services,other,1.0,4,16,17,18
GP,F,16.0,U,other,other,2.0,4,7,6,6
GP,F,16.0,U,teacher,services,,0,11,10,10
GP,M,15.0,U,services,health,,6,11,13,14
GP,F,15.0,R,at_home,other,4.0,2,7,10,10
GP,M,16.0,R,services,other,1.0,2,11,15,15
GP,F,16.0,U,other,other,2.0,2,8,9,10
GP,F,16.0,U,other,other,1.0,6,11,14,14
GP,F,16.0,U,other,at_home,3.0,0,7,9,8
GP,M,16.0,U,services,services,1.0,14,7,7,5
,M,16.0,U,services,teacher,,0,16,17,17
GP,M,15.0,U,services,other,1.0,4,10,13,14
GP,F,15.0,U,services,other,2.0,26,7,6,6
GP,M,15.0,U,services,other,2.0,0,16,18,18
GP,F,15.0,U,other,health,4.0,10,10,11,11
GP,F,15.0,U,other,other,4.0,8,7,8,8
GP,M,16.0,U,services,other,3.0,2,16,18,18
GP,M,15.0,R,other,other,,6,10,13,13
GP,F,16.0,U,health,health,3.0,4,14,15,16
GP,M,15.0,U,teacher,teacher,1.0,6,18,19,19
GP,F,16.0,R,services,other,3.0,0,7,10,10
GP,F,16.0,U,at_home,other,2.0,6,10,13,13
,M,15.0,U,teacher,other,,10,18,19,19
GP,M,15.0,R,health,services,2.0,8,9,9,9
GP,M,16.0,U,teacher,teacher,2.0,2,15,15,16
,M,,U,other,teacher,,2,11,13,14
GP,M,16.0,U,other,services,1.0,0,13,14,13
GP,M,17.0,R,other,other,2.0,20,9,7,8
GP,M,15.0,U,other,other,1.0,6,14,13,13
GP,F,15.0,U,at_home,services,2.0,2,16,15,15
GP,M,15.0,U,services,services,4.0,6,16,14,15
GP,F,16.0,U,other,health,2.0,2,13,13,13
GP,M,16.0,U,health,other,1.0,18,14,11,13
,F,,U,other,other,,0,8,7,8
GP,M,15.0,U,services,services,1.0,0,13,13,12
GP,F,15.0,U,other,other,2.0,0,7,10,11
GP,F,19.0,U,at_home,other,2.0,2,7,8,9
GP,M,18.0,R,services,other,1.0,0,7,4,0
GP,M,16.0,R,teacher,teacher,1.0,8,18,18,18
GP,F,15.0,R,services,teacher,3.0,0,12,0,0
GP,F,15.0,U,at_home,other,1.0,0,8,0,0
GP,F,17.0,U,other,other,,12,10,13,12
