image_id,text,label
0,dark left_heavy top_heavy,0
1,dark right_heavy top_heavy,1
2,bright right_heavy bottom_heavy,2
3,dark right_heavy top_heavy,3
4,dark right_heavy bottom_heavy,4
5,bright right_heavy top_heavy,5
6,dark left_heavy bottom_heavy,6
7,dark right_heavy top_heavy,7
8,bright right_heavy bottom_heavy,8
9,bright right_heavy top_heavy,9
10,bright left_heavy top_heavy,0
11,dark right_heavy top_heavy,1
12,dark right_heavy bottom_heavy,2
13,bright right_heavy top_heavy,3
14,bright right_heavy bottom_heavy,4
15,bright left_heavy top_heavy,5
16,dark right_heavy bottom_heavy,6
17,bright right_heavy bottom_heavy,7
18,dark left_heavy top_heavy,8
19,dark right_heavy top_heavy,9
20,bright left_heavy top_heavy,0
21,bright right_heavy top_heavy,1
22,dark left_heavy bottom_heavy,2
23,dark right_heavy top_heavy,3
24,dark right_heavy bottom_heavy,4
25,dark left_heavy top_heavy,5
26,bright left_heavy bottom_heavy,6
27,bright right_heavy bottom_heavy,7
28,dark left_heavy bottom_heavy,8
29,bright right_heavy top_heavy,9
30,bright left_heavy bottom_heavy,0
31,dark right_heavy top_heavy,9
32,bright left_heavy top_heavy,5
33,bright left_heavy top_heavy,5
34,dark left_heavy bottom_heavy,6
35,dark left_heavy top_heavy,5
36,bright left_heavy top_heavy,0
37,dark left_heavy top_heavy,9
38,dark left_heavy top_heavy,8
39,dark right_heavy top_heavy,9
40,bright left_heavy top_heavy,8
41,bright right_heavy bottom_heavy,4
42,dark right_heavy top_heavy,1
43,dark right_heavy bottom_heavy,7
44,bright left_heavy top_heavy,7
45,dark right_heavy bottom_heavy,3
46,dark left_heavy top_heavy,5
47,dark right_heavy top_heavy,1
48,dark left_heavy top_heavy,0
49,dark right_heavy bottom_heavy,0
50,dark right_heavy bottom_heavy,2
51,dark right_heavy bottom_heavy,2
52,bright right_heavy top_heavy,7
53,dark right_heavy bottom_heavy,8
54,dark right_heavy bottom_heavy,2
55,bright right_heavy top_heavy,0
56,dark right_heavy top_heavy,1
57,dark right_heavy bottom_heavy,2
58,bright left_heavy bottom_heavy,6
59,dark right_heavy top_heavy,3
60,dark right_heavy bottom_heavy,3
61,bright right_heavy bottom_heavy,7
62,bright right_heavy top_heavy,3
63,bright right_heavy top_heavy,3
64,bright right_heavy bottom_heavy,4
65,dark left_heavy bottom_heavy,6
66,bright left_heavy bottom_heavy,6
67,dark left_heavy bottom_heavy,6
68,dark left_heavy bottom_heavy,4
69,dark left_heavy top_heavy,9
70,dark right_heavy top_heavy,1
71,dark left_heavy top_heavy,5
72,bright left_heavy top_heavy,0
