ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy
3,90000.0,2,2,2,34.0,0,0,0,0,0,0,29239.0,14027,13559,14331,14948,15549,1518.0,1500,1000,1000,1000,5000,0,0.7567527643329707,94500.0
4,50000.0,2,2,1,37.0,0,0,0,0,0,0,46990.0,48233,49291,28314,28959,29547,2000.0,2019,1200,1100,1069,1000,0,0.9408408548724129,52500.0
5,50000.0,1,2,1,57.0,-1,0,-1,0,0,0,8617.0,5670,35835,20940,19146,19131,2000.0,36681,10000,9000,689,679,0,0.7030224923011751,52500.0
6,50000.0,1,1,2,37.0,0,0,0,0,0,0,64400.0,57069,57608,19394,19619,20024,2500.0,1815,657,1000,1000,800,0,0.5844243546717784,52500.0
7,,1,1,2,29.0,0,0,0,0,0,0,367965.0,412023,445007,542653,483003,473944,55000.0,40000,38000,20239,13750,13770,0,1.2943102887089502,
8,100000.0,2,2,2,23.0,0,-1,-1,0,0,-1,11876.0,380,601,221,-159,567,380.0,601,0,581,1687,1542,0,-0.46222383419037305,105000.0
9,140000.0,2,3,1,28.0,0,0,2,0,0,0,11285.0,14096,12108,12211,11793,3719,3329.0,0,432,1000,1000,1000,0,-1.0778701778804594,147000.0
10,20000.0,99,3,2,35.0,-2,-2,-2,-2,-1,-1,0.0,0,0,0,13007,13912,0.0,0,0,13007,1122,0,0,-1.8145577674010622,21000.0
11,200000.0,2,3,2,34.0,0,0,2,0,0,-1,11073.0,9787,5535,2513,1828,3731,2306.0,12,50,300,3738,66,0,0.28848821585627493,210000.0
12,260000.0,2,1,2,51.0,-1,-1,-1,-1,-1,2,12261.0,21670,9966,8517,22287,13668,21818.0,9966,8583,22301,0,3640,0,0.6618078664517064,273000.0
13,630000.0,2,2,2,41.0,-1,0,-1,-1,-1,-1,12137.0,6500,6500,6500,6500,2870,1000.0,6500,6500,6500,2870,0,0,0.7879889066429226,661500.0
15,250000.0,1,1,2,29.0,0,0,0,0,0,0,70887.0,67060,63561,59696,56875,55512,3000.0,3000,3000,3000,3000,3000,0,-1.191627709114197,262500.0
16,50000.0,2,3,3,23.0,1,2,0,0,0,0,50614.0,29173,28116,28771,29531,30211,0.0,1500,1100,1200,1300,1100,0,-0.47077478048157034,52500.0
18,320000.0,1,1,1,49.0,0,0,0,-1,-1,-1,253286.0,246536,194663,70074,5856,195599,10358.0,10000,75940,20000,195599,50000,0,-0.681220936304296,336000.0
19,360000.0,2,1,1,49.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.15565897113188684,378000.0
20,180000.0,2,1,2,29.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.38275593016988874,189000.0
21,130000.0,2,3,2,39.0,0,0,0,0,0,-1,38358.0,27688,24489,20616,11802,930,3000.0,1537,1000,2000,930,33764,0,-0.43585213798352057,136500.0
25,90000.0,1,1,2,23.0,0,0,0,-1,0,0,4744.0,7070,0,5398,6360,8292,5757.0,0,5398,1200,2045,2000,0,0.39496714692992557,94500.0
26,50000.0,1,3,2,23.0,0,0,0,0,0,0,47620.0,41810,36023,28967,29829,30046,1973.0,1426,1001,1432,1062,997,0,0.24178222824274292,52500.0
28,50000.0,2,3,2,30.0,0,0,0,0,0,0,22541.0,16138,17163,17878,18931,19617,1300.0,1300,1000,1500,1000,1012,0,0.49353097954805664,52500.0
29,50000.0,2,3,1,47.0,-1,-1,-1,-1,-1,-1,650.0,3415,3416,2040,30430,257,3415.0,3421,2044,30430,257,0,0,0.24878042104237694,52500.0
30,50000.0,1,1,2,26.0,0,0,0,0,0,0,15329.0,16575,17496,17907,18375,11400,1500.0,1500,1000,1000,1600,0,0,-1.25893864650252,52500.0
31,230000.0,2,1,2,27.0,-1,-1,-1,-1,-1,-1,16646.0,17265,13266,15339,14307,36923,17270.0,13281,15339,14307,37292,0,0,-1.4004573111406917,241500.0
33,100000.0,1,1,2,32.0,0,0,0,0,0,0,93036.0,84071,82880,80958,78703,75589,3023.0,3511,3302,3204,3200,2504,0,0.7669037727018375,105000.0
34,500000.0,2,2,1,54.0,-2,-2,-2,-2,-2,-2,218580.0,4152,22722,7521,71439,8981,4152.0,22827,7521,71439,981,51582,0,0.04314205480169039,525000.0
35,,1,1,1,58.0,-2,-2,-2,-2,-2,-2,13709.0,5006,31130,3180,0,5293,5006.0,31178,3180,0,5293,768,0,1.1869910009352849,
36,160000.0,1,1,2,-5.0,-1,-1,-2,-2,-2,-1,30265.0,-131,-527,-923,-1488,-1884,131.0,396,396,565,792,0,0,0.9759650437382762,168000.0
37,280000.0,1,2,1,40.0,0,0,0,0,0,0,186503.0,181328,180422,170410,173901,177413,8026.0,8060,6300,6400,6400,6737,0,0.16282272970592623,294000.0
38,60000.0,2,2,2,22.0,0,0,0,0,0,-1,15054.0,9806,11068,6026,-28335,18660,1500.0,1518,2043,0,47671,617,0,1.0196112558873571,63000.0
40,280000.0,1,1,2,,-1,-1,2,-1,0,-1,498.0,9075,4641,9976,17976,9477,9075.0,0,9976,8000,9525,781,0,1.7523629866281132,294000.0
41,360000.0,1,1,2,33.0,0,0,0,0,0,0,218668.0,221296,206895,628699,195969,179224,10000.0,7000,6000,188840,28000,4000,0,0.11800801179792673,378000.0
42,70000.0,2,1,2,25.0,0,0,0,0,0,0,67521.0,66999,63949,63699,64718,65970,3000.0,4500,4042,2500,2800,2500,0,-1.0593478001408052,73500.0
43,10000.0,1,2,2,22.0,0,0,0,0,0,0,1877.0,3184,6003,3576,3670,4451,1500.0,2927,1000,300,1000,500,0,0.19740275260003692,10500.0
44,140000.0,2,2,1,37.0,0,0,0,0,0,0,59504.0,61544,62925,64280,67079,69802,3000.0,3000,3000,4000,4000,3000,0,0.767093944171096,147000.0
45,40000.0,2,1,2,30.0,0,0,0,2,0,0,18927.0,21295,25921,25209,26636,29197,,5000,0,2000,3000,0,0,0.8204941678181261,42000.0
49,380000.0,1,2,2,32.0,-1,-1,-1,-1,-1,-1,22401.0,21540,15134,32018,11849,11873,21540.0,15138,24677,11851,11875,8251,0,-0.5373161307087028,399000.0
50,20000.0,1,1,2,24.0,0,0,0,0,0,0,17447.0,18479,19476,19865,20480,20063,1318.0,1315,704,928,912,1069,0,-0.7912852341196669,21000.0
52,100000.0,2,3,3,43.0,0,0,0,0,0,0,61559.0,51163,43824,39619,35762,33258,2000.0,1606,1500,2000,1500,1000,0,-0.12345757051101626,105000.0
53,310000.0,2,2,1,49.0,-2,-2,-2,-2,-2,-2,13465.0,7867,7600,11185,3544,464,7875.0,7600,11185,3544,464,0,0,1.6042238152044723,325500.0
54,180000.0,2,1,2,25.0,1,2,0,0,0,0,41402.0,41742,42758,43510,44420,45319,1300.0,2010,1762,1762,1790,1622,0,-0.10297287859531677,189000.0
55,150000.0,2,1,2,,2,0,0,0,0,0,924480.0,34993,31434,26518,21042,16540,1600.0,1718,1049,1500,2000,5000,0,0.23827588897225657,157500.0
56,500000.0,2,1,1,45.0,-2,-2,-2,-2,-2,-2,1905.0,3640,162,0,151,2530,3640.0,162,0,151,2530,0,0,0.6061396920568981,525000.0
57,180000.0,2,3,1,34.0,0,0,0,-1,-1,-1,,15793,8441,7142,-679,8321,8500.0,1500,7500,679,9000,2000,0,0.49280046790281423,189000.0
58,180000.0,2,2,1,34.0,0,0,0,0,0,0,175886.0,173440,172308,168608,132202,129918,8083.0,7296,5253,4814,4816,3800,0,0.6684342723231746,189000.0
59,200000.0,2,1,2,34.0,-1,3,2,2,2,2,1587.0,1098,782,1166,700,1414,0.0,0,700,0,1200,0,0,-0.05979181435670295,210000.0
60,400000.0,2,2,1,29.0,0,0,0,0,0,0,400134.0,398857,404205,360199,356656,364089,17000.0,15029,30000,12000,12000,23000,0,-0.11731792973791505,420000.0
62,70000.0,1,2,1,-5.0,0,0,0,0,0,-1,70800.0,72060,69938,16518,14096,830,4025.0,2095,1000,2000,3000,0,0,-0.5217224054947369,73500.0
65,130000.0,2,2,1,51.0,-1,-1,-2,-2,-1,-1,99.0,0,0,0,2353,0,0.0,0,0,2353,0,0,0,0.3754779433267494,136500.0
68,210000.0,2,1,2,30.0,2,-1,-1,-1,-1,-1,300.0,300,1159,2280,300,4250,300.0,1159,2280,300,4250,909,0,1.961393978527927,220500.0
69,130000.0,2,3,2,29.0,1,-2,-2,-1,2,-1,-190.0,-9850,-9850,10311,10161,7319,0.0,0,20161,0,7319,13899,0,1.0205164069698496,136500.0
70,20000.0,1,5,2,22.0,2,0,0,0,0,0,18565.0,17204,17285,18085,11205,5982,0.0,1200,1000,500,1000,0,0,-0.8829624070519068,21000.0
71,80000.0,1,1,2,31.0,-1,-1,-1,-1,-1,-1,780.0,0,390,390,390,390,0.0,390,390,390,390,390,0,0.48780489153457024,84000.0
73,200000.0,2,2,1,32.0,-1,-1,-1,-1,2,-1,9076.0,5787,-684,5247,3848,3151,5818.0,15,9102,17,3165,1395,0,-0.34680432332782146,210000.0
74,290000.0,2,1,2,37.0,1,-2,-1,-1,-1,-1,0.0,0,3155,0,2359,0,0.0,3155,0,2359,0,0,0,-0.26980223424671973,304500.0
75,340000.0,1,1,2,,-1,-1,-1,-1,-1,-1,3048.0,5550,23337,4291,80153,25820,5713.0,23453,4314,80552,25949,2016,0,0.3663371407214553,357000.0
76,20000.0,1,2,2,24.0,0,0,2,0,0,0,14619.0,17216,16642,16976,17332,18543,2850.0,0,610,630,1500,0,0,-0.36162773308182306,21000.0
77,50000.0,1,3,2,25.0,-1,0,0,0,0,0,42838.0,37225,36087,9636,9590,10030,1759.0,1779,320,500,1000,1000,0,-0.23534155080818192,52500.0
78,300000.0,2,1,1,-5.0,-1,-1,-1,-1,-1,-1,291.0,291,291,291,291,291,291.0,291,291,291,291,291,0,-0.9223529086195464,315000.0
81,470000.0,2,3,3,33.0,0,0,0,0,0,0,165254.0,157784,162702,69923,29271,29889,6400.0,7566,3000,960,1000,3000,0,-0.030294501664824385,493500.0
82,360000.0,2,1,2,26.0,0,0,0,0,0,-1,,27796,30400,33100,180000,196,4796.0,3400,3100,146900,196,2963,0,0.06902419187798678,378000.0
84,400000.0,2,2,1,44.0,0,0,2,0,0,0,131595.0,139060,126819,104430,104990,94058,10700.0,3,3050,3000,3200,2800,0,0.6626723780088138,420000.0
85,50000.0,2,3,2,49.0,0,0,0,0,0,0,48909.0,47863,21489,20414,19342,19482,1676.0,1302,700,699,849,826,0,-1.7484240494454346,52500.0
86,160000.0,1,2,2,33.0,0,0,0,0,0,0,130028.0,107808,71934,118418,118407,120418,4400.0,3547,80000,4500,4800,4500,0,0.27563065540404946,168000.0
88,160000.0,2,2,2,32.0,0,0,0,0,0,-1,3826.0,4751,6604,8604,7072,766,1147.0,2000,2000,0,766,2303,0,-0.9965999336595919,168000.0
89,130000.0,2,1,1,35.0,0,0,0,-1,-1,-1,81313.0,117866,17740,1330,7095,1190,40000.0,5000,1330,7095,1190,2090,0,-2.1850504424057386,136500.0
90,20000.0,1,3,2,44.0,2,2,0,0,0,2,171660.0,8303,9651,10488,12314,11970,0.0,1651,1000,2000,0,1500,0,1.089974030088727,21000.0
92,280000.0,2,1,2,39.0,-1,-1,-1,0,0,-2,7524.0,0,3968,3868,0,0,0.0,3968,0,0,0,0,0,0.4000983479592029,294000.0
93,,2,1,2,27.0,-2,-2,-2,-2,-2,-2,-2000.0,5555,0,0,0,0,7555.0,0,0,0,0,0,0,1.8428393339995006,
94,160000.0,2,2,1,37.0,-1,-1,-1,-1,-1,-2,880.0,1602,840,840,0,0,1602.0,840,840,0,0,7736,0,0.4843237747203225,168000.0
95,60000.0,2,2,2,23.0,0,0,0,0,0,0,45648.0,46850,47214,19595,19209,19323,1937.0,1301,682,690,816,835,0,0.7338671271930987,63000.0
96,90000.0,1,2,2,35.0,0,0,0,0,0,0,83725.0,85996,87653,35565,30942,30835,3621.0,3597,1179,1112,1104,1143,0,-1.7542553200058584,94500.0
97,,1,1,1,43.0,-1,-1,-1,-1,-1,0,3967.0,8322,3394,6451,26370,9956,8339.0,3394,12902,27000,0,68978,0,0.7715583408334219,
98,150000.0,1,1,2,27.0,0,0,0,0,0,0,86009.0,86108,89006,89775,87725,40788,4031.0,10006,3266,4040,1698,800,0,-0.08034923708853513,157500.0
99,50000.0,2,3,1,22.0,0,0,0,0,0,0,18722.0,18160,16997,13150,8866,7899,1411.0,1194,379,281,321,197,0,-0.2942724397436542,52500.0
101,140000.0,1,1,2,32.0,-2,-2,-2,-2,-2,-2,672.0,10212,850,415,100,1430,10212.0,850,415,100,1430,0,0,0.3546980013463719,147000.0
102,380000.0,2,1,2,30.0,-2,-2,-1,0,0,0,-81.0,-303,32475,32891,33564,34056,223.0,33178,1171,1197,1250,5000,0,0.24747867334839274,399000.0
103,480000.0,1,1,1,63.0,0,0,0,2,2,0,422069.0,431342,479432,487066,471145,469961,16078.0,55693,17000,0,18000,24200,0,-0.37473202440968156,504000.0
105,60000.0,2,2,2,26.0,2,2,2,2,2,0,56685.0,55208,59175,60218,55447,55305,0.0,5000,2511,6,3000,3000,0,1.007964260548232,63000.0
106,70000.0,2,2,2,24.0,-1,-1,-2,-2,-2,-1,5580.0,0,0,0,0,26529,0.0,0,0,0,26529,2000,0,-0.22069003794689587,73500.0
107,80000.0,2,2,1,36.0,-1,-1,-1,-1,-1,-1,6108.0,2861,3277,3319,1150,1150,2861.0,3279,3319,1150,1150,1035,0,1.9831605446379386,84000.0
108,350000.0,1,1,2,52.0,-1,-1,-1,-1,-1,-1,713.0,2272,722,867,1150,5263,2272.0,722,867,1150,5263,5011,0,-0.14716282338727552,367500.0
109,130000.0,1,2,2,38.0,0,0,0,-1,-1,-1,171438.0,178382,39940,120483,44127,126568,10908.0,0,133657,4566,133841,4796,0,0.09979727284781133,136500.0
110,360000.0,1,2,1,,1,-2,-2,-2,-2,-2,-103.0,-103,-103,-103,-103,-103,0.0,0,0,0,0,0,0,0.2518765547382783,378000.0
