LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy,ID_ANONYME
90000.0,2,2,2,33,0,0,0,0,0,0,29239.0,14027,13559,14331,14948,15549,1518.0,1500,1000,1000,1000,5000,0,0.7567527643329707,94500.0,4e07408562be
50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233,49291,28314,28959,29547,2000.0,2019,1200,1100,1069,1000,0,0.9408408548724128,52500.0,4b227777d4dd
50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670,35835,20940,19146,19131,2000.0,36681,10000,9000,689,679,0,0.7030224923011751,52500.0,ef2d127de37b
50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069,57608,19394,19619,20024,2500.0,1815,657,1000,1000,800,0,0.5844243546717784,52500.0,e7f6c011776e
,1,1,2,29,0,0,0,0,0,0,367965.0,412023,445007,542653,483003,473944,55000.0,40000,38000,20239,13750,13770,0,1.2943102887089502,,7902699be42c
100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380,601,221,-159,567,380.0,601,0,581,1687,1542,0,-0.462223834190373,105000.0,2c624232cdd2
140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096,12108,12211,11793,3719,3329.0,0,432,1000,1000,1000,0,-1.0778701778804594,147000.0,19581e27de7c
20000.0,99,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0,0,0,13007,13912,0.0,0,0,13007,1122,0,0,-1.8145577674010624,21000.0,4a44dc153642
200000.0,2,3,2,33,0,0,2,0,0,-1,11073.0,9787,5535,2513,1828,3731,2306.0,12,50,300,3738,66,0,0.2884882158562749,210000.0,4fc82b26aecb
260000.0,2,1,2,50,-1,-1,-1,-1,-1,2,12261.0,21670,9966,8517,22287,13668,21818.0,9966,8583,22301,0,3640,0,0.6618078664517064,273000.0,6b51d431df5d
630000.0,2,2,2,40,-1,0,-1,-1,-1,-1,12137.0,6500,6500,6500,6500,2870,1000.0,6500,6500,6500,2870,0,0,0.7879889066429226,661500.0,3fdba35f04dc
250000.0,1,1,2,28,0,0,0,0,0,0,70887.0,67060,63561,59696,56875,55512,3000.0,3000,3000,3000,3000,3000,0,-1.191627709114197,262500.0,e629fa6598d7
50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,29173,28116,28771,29531,30211,0.0,1500,1100,1200,1300,1100,0,-0.4707747804815703,52500.0,b17ef6d19c7a
320000.0,1,1,1,48,0,0,0,-1,-1,-1,253286.0,246536,194663,70074,5856,195599,10358.0,10000,75940,20000,195599,50000,0,-0.681220936304296,336000.0,4ec9599fc203
360000.0,2,1,1,48,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.1556589711318868,378000.0,9400f1b21cb5
180000.0,2,1,2,28,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.3827559301698887,189000.0,f5ca38f748a1
130000.0,2,3,2,39,0,0,0,0,0,-1,38358.0,27688,24489,20616,11802,930,3000.0,1537,1000,2000,930,33764,0,-0.4358521379835205,136500.0,6f4b6612125f
90000.0,1,1,2,23,0,0,0,-1,0,0,4744.0,7070,0,5398,6360,8292,5757.0,0,5398,1200,2045,2000,0,0.3949671469299255,94500.0,b7a56873cd77
50000.0,1,3,2,23,0,0,0,0,0,0,47620.0,41810,36023,28967,29829,30046,1973.0,1426,1001,1432,1062,997,0,0.2417822282427429,52500.0,5f9c4ab08cac
50000.0,2,3,2,29,0,0,0,0,0,0,22541.0,16138,17163,17878,18931,19617,1300.0,1300,1000,1500,1000,1012,0,0.4935309795480566,52500.0,59e19706d51d
50000.0,2,3,1,47,-1,-1,-1,-1,-1,-1,650.0,3415,3416,2040,30430,257,3415.0,3421,2044,30430,257,0,0,0.2487804210423769,52500.0,35135aaa6cc2
50000.0,1,1,2,25,0,0,0,0,0,0,15329.0,16575,17496,17907,18375,11400,1500.0,1500,1000,1000,1600,0,0,-1.25893864650252,52500.0,624b60c58c9d
230000.0,2,1,2,27,-1,-1,-1,-1,-1,-1,16646.0,17265,13266,15339,14307,36923,17270.0,13281,15339,14307,37292,0,0,-1.4004573111406915,241500.0,eb1e33e8a81b
100000.0,1,1,2,32,0,0,0,0,0,0,93036.0,84071,82880,80958,78703,75589,3023.0,3511,3302,3204,3200,2504,0,0.7669037727018375,105000.0,c6f3ac57944a
500000.0,2,2,1,54,-2,-2,-2,-2,-2,-2,218580.0,4152,22722,7521,71439,8981,4152.0,22827,7521,71439,981,51582,0,0.0431420548016903,525000.0,86e501496586
,1,1,1,58,-2,-2,-2,-2,-2,-2,13709.0,5006,31130,3180,0,5293,5006.0,31178,3180,0,5293,768,0,1.1869910009352849,,9f14025af006
160000.0,1,1,2,-5,-1,-1,-2,-2,-2,-1,30265.0,-131,-527,-923,-1488,-1884,131.0,396,396,565,792,0,0,0.9759650437382762,168000.0,76a50887d8f1
280000.0,1,2,1,40,0,0,0,0,0,0,186503.0,181328,180422,170410,173901,177413,8026.0,8060,6300,6400,6400,6737,0,0.1628227297059262,294000.0,7a61b53701be
60000.0,2,2,2,22,0,0,0,0,0,-1,15054.0,9806,11068,6026,-28335,18660,1500.0,1518,2043,0,47671,617,0,1.0196112558873571,63000.0,aea92132c4cb
280000.0,1,1,2,42,-1,-1,2,-1,0,-1,498.0,9075,4641,9976,17976,9477,9075.0,0,9976,8000,9525,781,0,1.7523629866281132,294000.0,d59eced1ded0
360000.0,1,1,2,32,0,0,0,0,0,0,218668.0,221296,206895,628699,195969,179224,10000.0,7000,6000,188840,28000,4000,0,0.1180080117979267,378000.0,3d914f9348c9
70000.0,2,1,2,24,0,0,0,0,0,0,67521.0,66999,63949,63699,64718,65970,3000.0,4500,4042,2500,2800,2500,0,-1.0593478001408052,73500.0,73475cb40a56
10000.0,1,2,2,22,0,0,0,0,0,0,1877.0,3184,6003,3576,3670,4451,1500.0,2927,1000,300,1000,500,0,0.1974027526000369,10500.0,44cb730c4204
140000.0,2,2,1,36,0,0,0,0,0,0,59504.0,61544,62925,64280,67079,69802,3000.0,3000,3000,4000,4000,3000,0,0.767093944171096,147000.0,71ee45a3c0db
40000.0,2,1,2,30,0,0,0,2,0,0,18927.0,21295,25921,25209,26636,29197,,5000,0,2000,3000,0,0,0.8204941678181261,42000.0,811786ad1ae7
380000.0,1,2,2,32,-1,-1,-1,-1,-1,-1,22401.0,21540,15134,32018,11849,11873,21540.0,15138,24677,11851,11875,8251,0,-0.5373161307087028,399000.0,0e17daca5f3e
20000.0,1,1,2,23,0,0,0,0,0,0,17447.0,18479,19476,19865,20480,20063,1318.0,1315,704,928,912,1069,0,-0.7912852341196669,21000.0,1a6562590ef1
100000.0,2,3,3,42,0,0,0,0,0,0,61559.0,51163,43824,39619,35762,33258,2000.0,1606,1500,2000,1500,1000,0,-0.1234575705110162,105000.0,41cfc0d1f2d1
310000.0,2,2,1,48,-2,-2,-2,-2,-2,-2,13465.0,7867,7600,11185,3544,464,7875.0,7600,11185,3544,464,0,0,1.6042238152044723,325500.0,2858dcd1057d
