genre,pays,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,churn,jour_semaine,mois,age_groupe
Femme,Belgique,44468.63234149816,Standard,4.8,19,1,6,6,40-50
Femme,Algérie,35873.999595514586,Familial,11.6,21,0,5,4,<20
Femme,France,64894.0468596948,Standard,11.7,31,0,2,1,50-60
Femme,Algérie,43743.00209431129,Standard,13.1,22,0,6,7,50-60
Femme,Maroc,58333.87882670954,Premium,1.1,18,0,2,4,60+
Femme,Belgique,47485.839170261366,Standard,26.5,21,0,6,4,50-60
Femme,Maroc,19418.032422829707,Premium,33.3,24,0,6,6,40-50
Femme,France,56977.17395303926,Standard,31.2,22,1,0,1,50-60
Homme,Maroc,50057.7093940536,Standard,3.9,20,0,2,5,20-30
Homme,Maroc,67126.60572947966,Premium,14.1,17,0,2,7,30-40
Homme,Maroc,23264.218105099764,Standard,16.4,35,1,6,1,50-60
Homme,Maroc,41176.63111228762,Premium,10.6,33,0,5,4,20-30
Homme,Canada,51273.70031935332,Familial,50.9,22,0,5,3,40-50
Femme,Belgique,69310.68045208344,Familial,15.0,17,1,6,6,60+
Femme,Maroc,63442.81554342605,Standard,17.9,20,0,3,1,40-50
Femme,Belgique,36031.374201437844,Standard,1.1,20,0,0,6,60+
Homme,Maroc,40766.995714283454,Standard,4.9,31,0,0,7,50-60
Femme,France,29735.56170293654,Standard,13.8,16,0,5,3,40-50
Femme,Maroc,44127.573044717654,Premium,5.5,21,1,6,5,50-60
Homme,Canada,39983.94349108576,Premium,17.6,22,0,2,2,20-30
Femme,Algérie,41381.602025930006,Standard,1.7,28,0,5,5,40-50
Femme,Belgique,43613.61567770789,Premium,13.4,35,0,4,5,30-40
Homme,Canada,48504.143593172,Premium,24.0,20,0,2,6,40-50
Homme,Canada,35698.76743470203,Premium,13.9,22,1,1,1,40-50
Femme,France,44446.98910288272,Familial,27.4,29,0,1,1,60+
Homme,Belgique,42438.51752637478,Standard,11.9,24,1,1,6,30-40
Homme,Canada,29150.269387429977,Standard,11.2,32,1,2,7,50-60
Homme,Belgique,39442.75151824069,Premium,1.2,23,1,6,5,50-60
Femme,Maroc,42724.08130741652,Familial,1.7,15,0,0,1,60+
Homme,Canada,8991.652674811565,Standard,11.4,34,0,2,4,60+
Femme,Canada,49918.8031615545,Standard,42.1,24,0,4,3,<20
Femme,France,47729.26974022899,Familial,16.2,33,0,0,4,40-50
Femme,France,61691.683902710574,Premium,14.36419689119171,23,0,3,5,60+
Femme,Canada,45015.055769682804,Familial,12.3,29,0,5,5,50-60
Femme,Algérie,53852.385767257445,Standard,1.7,25,0,1,4,<20
Homme,Maroc,59910.75834038659,Standard,0.2,26,0,1,4,30-40
Homme,Algérie,52233.290212744774,Familial,2.2,25,0,1,4,40-50
Femme,Maroc,45956.71207260853,Standard,31.8,27,0,4,6,50-60
Femme,Belgique,32544.965143651916,Premium,3.2,25,0,4,1,30-40
Femme,Maroc,52955.35007845659,Standard,3.3,25,0,5,2,60+
Femme,Maroc,31183.49693647079,Premium,0.4,23,0,3,1,20-30
Homme,Canada,20872.056657867128,Premium,6.1,25,0,0,1,50-60
Homme,France,44998.89796902392,Premium,3.9,23,1,4,1,50-60
Femme,Canada,37540.001828650245,Standard,48.8,30,1,1,6,<20
Homme,France,41368.17949072594,Standard,17.4,29,0,5,5,60+
Homme,Algérie,40173.77969167629,Standard,64.4,30,0,6,2,20-30
Femme,Maroc,32059.897810879564,Premium,7.4,23,1,4,3,40-50
Homme,Belgique,30828.955808784387,Premium,33.4,26,1,3,4,30-40
Homme,Canada,42984.86671095896,Standard,7.0,15,0,2,1,30-40
Homme,France,45647.44047946955,Premium,2.3,21,1,5,5,60+
Homme,Canada,68664.4942534181,Premium,13.0,26,0,5,2,50-60
Homme,Algérie,39978.66270708303,Standard,3.6,22,0,2,1,50-60
Femme,Algérie,50788.26407423335,Premium,35.8,19,0,0,6,50-60
Homme,Maroc,28594.37269653647,Familial,5.7,21,0,6,2,30-40
Homme,France,31081.04055744173,Familial,35.9,25,1,1,6,50-60
Femme,Canada,28191.891222797287,Standard,14.36419689119171,24,0,3,3,20-30
Femme,Belgique,53207.2660110509,Familial,3.2,26,0,2,6,40-50
Femme,France,33231.607212714116,Familial,6.5,27,0,4,2,40-50
Homme,Canada,35183.48807085227,Standard,1.5,20,0,4,1,<20
Homme,Maroc,24954.998741150823,Familial,0.2,20,0,6,1,30-40
Homme,Belgique,42542.67473046472,Standard,0.5,23,0,5,4,30-40
Non précisé,Algérie,38339.156486413165,Standard,9.3,29,0,2,4,40-50
Femme,France,42360.27143198681,Standard,34.4,26,1,3,2,40-50
Femme,France,52993.783699715066,Standard,34.4,23,0,4,5,30-40
Femme,Algérie,53489.47115814482,Standard,6.2,22,1,2,3,60+
Homme,Canada,41693.39538939398,Standard,2.4,25,0,3,1,50-60
Homme,Canada,40160.255940497926,Standard,48.1,17,1,5,4,50-60
Homme,Canada,48716.4826811921,Premium,55.2,27,0,5,6,60+
Homme,Canada,53162.05103343875,Standard,1.8,20,0,5,3,30-40
Femme,Maroc,49367.60687348168,Premium,9.2,25,1,3,2,30-40
Homme,Canada,63511.76422147968,Premium,3.7,32,1,6,4,20-30
Homme,Algérie,33563.06473161368,Familial,58.0,24,0,2,4,40-50
Femme,France,11641.354875334579,Standard,33.8,18,1,5,3,20-30
Femme,Algérie,44272.00224686626,Standard,19.0,23,0,0,6,40-50
Femme,Canada,43652.35056631443,Familial,22.6,20,0,5,1,40-50
Homme,France,28759.67001929909,Premium,12.6,21,1,6,4,30-40
Non précisé,France,47574.05780712872,Premium,11.0,29,0,2,6,50-60
Femme,Belgique,36088.18053482946,Standard,16.8,24,0,1,4,50-60
Homme,France,28419.396934719483,Standard,5.5,18,0,5,3,50-60
Femme,France,44588.367038787306,Premium,37.6,35,0,6,1,40-50
Femme,France,60736.728636958105,Standard,1.0,23,0,4,3,<20
Femme,Algérie,30321.030477925473,Premium,24.5,21,0,0,3,30-40
Homme,Belgique,44135.58119508823,Standard,0.4,23,0,3,2,30-40
Homme,Belgique,39687.72488817556,Premium,13.8,27,0,5,2,20-30
Homme,Algérie,31731.601571914325,Standard,22.4,24,0,2,2,20-30
Homme,Maroc,37862.24372275166,Familial,18.0,19,0,6,4,60+
Femme,Canada,52642.29635967066,Familial,6.2,28,1,0,2,20-30
Femme,Maroc,36092.43466096295,Premium,5.0,36,0,0,1,20-30
Homme,Algérie,66381.87958223814,Premium,1.2,21,1,6,6,20-30
Femme,Belgique,35816.18830751316,Premium,14.36419689119171,20,0,6,2,40-50
Femme,Belgique,42174.844877633615,Premium,9.8,25,0,3,7,40-50
Homme,Algérie,42774.40068065742,Standard,6.2,24,0,1,4,20-30
Homme,France,7722.891758482607,Standard,1.4,26,0,3,2,60+
Femme,Algérie,47433.577763228575,Premium,12.8,21,0,6,3,<20
Femme,Algérie,38155.69444105634,Standard,6.2,27,0,4,2,40-50
Femme,Algérie,22516.209085133378,Premium,38.6,18,0,5,1,30-40
Femme,France,42753.66296074858,Premium,10.1,27,0,3,3,40-50
Femme,France,38889.905280540166,Standard,28.4,28,0,5,5,30-40
Homme,Canada,52095.47967949412,Premium,12.1,19,1,3,2,20-30
Homme,Belgique,35497.30375782876,Premium,20.3,24,1,1,7,20-30
Femme,Canada,25979.415715923184,Standard,8.3,23,0,1,1,30-40
Homme,Canada,37918.675391732155,Familial,34.4,18,0,4,1,<20
Femme,France,43602.62602554249,Standard,38.1,17,0,6,7,40-50
Homme,Maroc,50903.65305940816,Premium,4.5,18,0,2,2,20-30
Homme,Canada,35388.9946506334,Familial,6.5,18,0,1,3,50-60
Homme,France,50686.691816994615,Familial,6.1,29,0,1,2,40-50
Femme,Algérie,26459.811336231283,Familial,3.4,27,0,0,2,20-30
Homme,France,44665.459393873854,Standard,8.3,30,1,4,3,50-60
Femme,Belgique,18112.018616109934,Premium,8.2,28,0,2,6,40-50
Homme,Algérie,28353.02415999782,Standard,14.36419689119171,24,1,3,1,<20
Homme,Canada,35821.49705900114,Standard,19.7,30,0,4,5,40-50
Femme,France,45311.87205249939,Standard,8.3,25,1,6,3,50-60
Femme,Canada,51399.318113586676,Premium,10.6,19,0,0,3,50-60
Femme,Maroc,45597.09569603142,Premium,5.3,19,1,3,4,40-50
Homme,Belgique,45344.09961216861,Standard,46.2,39,0,0,3,50-60
Femme,Belgique,27519.973025116364,Premium,8.6,21,0,2,3,50-60
