genre,pays,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,churn,jour_semaine,mois,age_groupe
Femme,Belgique,44468.63234149816,Standard,4.8,19,1,6,6,40-50
Femme,Algérie,35873.999595514586,Familial,11.6,21,0,5,4,<20
Femme,France,64894.0468596948,Standard,11.7,31,0,2,1,50-60
Femme,Algérie,43743.00209431129,,13.1,22,0,6,7,50-60
Femme,Maroc,58333.87882670954,Premium,1.1,18,0,2,4,60+
Femme,Belgique,47485.839170261366,,26.5,21,0,6,4,50-60
Femme,Maroc,19418.032422829707,Premium,33.3,24,0,6,6,40-50
Femme,France,56977.17395303926,Standard,31.2,22,1,0,1,50-60
Homme,Maroc,50057.7093940536,Standard,3.9,20,0,2,5,20-30
Homme,Maroc,67126.60572947966,Premium,14.1,17,0,2,7,30-40
Homme,Maroc,23264.218105099764,Standard,16.4,35,1,6,1,50-60
Homme,Maroc,41176.63111228762,Premium,10.6,33,0,5,4,20-30
Homme,Canada,51273.70031935332,Familial,50.9,22,0,5,3,40-50
Femme,Belgique,69310.68045208344,Familial,15.0,17,1,6,6,60+
Femme,Maroc,63442.81554342605,Standard,17.9,20,0,3,1,40-50
Femme,Belgique,36031.374201437844,,1.1,20,0,0,6,60+
Homme,Maroc,40766.995714283454,Standard,4.9,31,0,0,7,50-60
Femme,France,29735.56170293654,Standard,13.8,16,0,5,3,40-50
Femme,Maroc,,Premium,5.5,21,1,6,5,50-60
Homme,Canada,38992.207496391005,Premium,17.6,22,0,2,2,20-30
Femme,Algérie,40202.6001183547,Standard,1.7,28,0,5,5,40-50
Femme,Belgique,45768.30452733127,Premium,13.4,35,0,4,5,30-40
Homme,Canada,53475.24271586889,Premium,24.0,20,0,2,6,40-50
Homme,Canada,32547.10212343207,Premium,13.9,22,1,1,1,40-50
Femme,France,54419.597957622755,Familial,27.4,29,0,1,1,60+
Homme,Belgique,,,11.9,24,1,1,6,30-40
Homme,Canada,28904.67565756599,Standard,11.2,32,1,2,7,50-60
Homme,Belgique,36261.15057412965,Premium,1.2,23,1,6,5,50-60
Femme,Maroc,37904.416000431105,Familial,1.7,15,0,0,1,60+
Homme,Canada,10458.908089892555,,11.4,34,0,2,4,60+
Femme,Canada,54064.769771044485,Standard,42.1,24,0,4,3,<20
Femme,France,42972.02007255736,Familial,16.2,33,0,0,4,40-50
Femme,France,58098.47532886678,Premium,,23,0,3,5,60+
Femme,Canada,47738.37163182744,Familial,12.3,29,0,5,5,50-60
Femme,Algérie,62110.41214694941,Standard,1.7,25,0,1,4,<20
Homme,Maroc,59056.591812239,Standard,0.2,26,0,1,4,30-40
Homme,Algérie,43238.67156888122,Familial,2.2,25,0,1,4,40-50
Femme,Maroc,45966.0558827184,Standard,31.8,27,0,4,6,50-60
Femme,Belgique,29687.305172328597,Premium,3.2,25,0,4,1,30-40
Femme,Maroc,51977.8460461686,Standard,3.3,25,0,5,2,60+
Femme,Maroc,36889.59080844415,Premium,0.4,23,0,3,1,20-30
Homme,Canada,22434.339694711973,Premium,6.1,25,0,0,1,50-60
Homme,France,40689.82730505227,Premium,3.9,23,1,4,1,50-60
Femme,Canada,42428.5549852171,Standard,48.8,30,1,1,6,<20
Homme,France,41732.971168294156,,17.4,29,0,5,5,60+
Homme,Algérie,33175.27092048051,Standard,64.4,30,0,6,2,20-30
Femme,Maroc,36867.057828196244,Premium,7.4,23,1,4,3,40-50
Homme,Belgique,36466.6797741185,Premium,33.4,26,1,3,4,30-40
Homme,Canada,41550.84923741074,Standard,7.0,15,0,2,1,30-40
Homme,France,42295.18448288416,Premium,2.3,21,1,5,5,60+
Homme,Canada,63524.67055772149,Premium,13.0,26,0,5,2,50-60
Homme,Algérie,,Standard,3.6,22,0,2,1,50-60
Femme,Algérie,42486.85546615876,Premium,35.8,19,0,0,6,50-60
Homme,Maroc,33154.77716790076,Familial,5.7,21,0,6,2,30-40
Homme,France,33428.04628383763,Familial,35.9,25,1,1,6,50-60
Femme,Canada,35977.96405586406,Standard,,24,0,3,3,20-30
Femme,Belgique,44797.37825556375,Familial,3.2,26,0,2,6,40-50
Femme,France,32753.42254106272,Familial,6.5,27,0,4,2,40-50
Homme,Canada,31931.31672432787,Standard,1.5,20,0,4,1,<20
Homme,Maroc,28268.668637505427,Familial,0.2,20,0,6,1,30-40
Homme,Belgique,43883.68567790942,Standard,0.5,23,0,5,4,30-40
Non précisé,Algérie,42974.89810306859,Standard,9.3,29,0,2,4,40-50
Femme,France,37360.25695423077,Standard,34.4,26,1,3,2,40-50
Femme,France,53364.490837167505,Standard,34.4,23,0,4,5,30-40
Femme,Algérie,51967.58768033387,Standard,6.2,22,1,2,3,60+
Homme,Canada,45438.23788180532,,2.4,25,0,3,1,50-60
Homme,Canada,32656.31914962082,Standard,48.1,17,1,5,4,50-60
Homme,Canada,50370.28808692495,Premium,55.2,27,0,5,6,60+
Homme,Canada,46367.501026786034,Standard,1.8,20,0,5,3,30-40
Femme,Maroc,61583.738108494974,Premium,9.2,25,1,3,2,30-40
Homme,Canada,48852.28195141363,Premium,3.7,32,1,6,4,20-30
Homme,Algérie,37316.75540555539,Familial,58.0,24,0,2,4,40-50
Femme,France,8950.579883282398,Standard,33.8,18,1,5,3,20-30
Femme,Algérie,49057.12080029951,,19.0,23,0,0,6,
Femme,Canada,,Familial,22.6,20,0,5,1,40-50
Homme,France,33059.45595629198,Premium,12.6,21,1,6,4,30-40
Non précisé,France,58168.64295170229,Premium,11.0,29,0,2,6,50-60
Femme,Belgique,,Standard,16.8,24,0,1,4,50-60
Homme,France,31222.813867827346,Standard,5.5,18,0,5,3,50-60
Femme,France,53961.03251424169,Premium,37.6,35,0,6,1,
Femme,France,55363.380797872866,Standard,1.0,23,0,4,3,<20
Femme,Algérie,29093.697414167404,Premium,24.5,21,0,0,3,30-40
Homme,Belgique,44989.34285863035,Standard,0.4,23,0,3,2,30-40
Homme,Belgique,35226.47128535978,Premium,13.8,27,0,5,2,20-30
Homme,Algérie,27551.594657183112,Standard,22.4,24,0,2,2,20-30
Homme,Maroc,,Familial,18.0,19,0,6,4,60+
Femme,Canada,49423.0643232718,Familial,6.2,28,1,0,2,20-30
Femme,Maroc,40041.917671834475,Premium,5.0,36,0,0,1,20-30
Homme,Algérie,56416.672488409895,Premium,1.2,21,1,6,6,20-30
Femme,Belgique,33561.877668874266,Premium,,20,0,6,2,40-50
Femme,Belgique,45493.70800778771,Premium,9.8,25,0,3,7,40-50
Homme,Algérie,,Standard,6.2,24,0,1,4,20-30
Homme,France,8070.840506416151,Standard,1.4,26,0,3,2,60+
Femme,Algérie,44853.49022801943,Premium,12.8,21,0,6,3,<20
Femme,Algérie,,Standard,6.2,27,0,4,2,40-50
Femme,Algérie,21850.015027168105,Premium,38.6,18,0,5,1,30-40
Femme,France,42621.565215079485,Premium,10.1,27,0,3,3,
Femme,France,51281.35196808711,Standard,28.4,28,0,5,5,30-40
Homme,Canada,44835.501128862736,Premium,12.1,19,1,3,2,20-30
Homme,Belgique,43786.364166603904,Premium,20.3,24,1,1,7,20-30
Femme,Canada,21939.358567875723,Standard,8.3,23,0,1,1,30-40
Homme,Canada,,Familial,34.4,18,0,4,1,<20
Femme,France,,Standard,38.1,17,0,6,7,
Homme,Maroc,47606.28294701776,Premium,4.5,18,0,2,2,20-30
Homme,Canada,35855.77811716416,Familial,6.5,18,0,1,3,50-60
Homme,France,44844.720954148586,Familial,6.1,29,0,1,2,40-50
Femme,Algérie,26417.101795828967,Familial,3.4,27,0,0,2,20-30
Homme,France,37423.890106427876,Standard,8.3,30,1,4,3,50-60
Femme,Belgique,21702.27670595926,Premium,8.2,28,0,2,6,40-50
Homme,Algérie,21253.288247336935,Standard,,24,1,3,1,<20
Homme,Canada,38340.56630200886,Standard,19.7,30,0,4,5,40-50
Femme,France,38214.14762086775,Standard,8.3,25,1,6,3,50-60
Femme,Canada,51918.93628633831,Premium,10.6,19,0,0,3,50-60
Femme,Maroc,55278.656240651406,Premium,5.3,19,1,3,4,
Homme,Belgique,38319.0048165458,Standard,46.2,39,0,0,3,50-60
Femme,Belgique,29050.701614200556,Premium,8.6,21,0,2,3,50-60
Homme,Algérie,,Familial,13.4,27,1,3,1,40-50
Femme,Belgique,55998.42189317025,Premium,0.2,25,0,0,4,50-60
Homme,Canada,36984.86003200323,,22.6,25,1,6,2,20-30
Femme,France,44735.040377409714,Premium,27.5,37,1,4,1,20-30
