original_id,pclass,survived,sex,sibsp,parch,fare,embarked,boat,body,ticket_masked,home_masked,age_group,fare_perturbed,pseudonym_id
0,1.0,1.0,female,0.0,0.0,211.3375,S,2,,160,MO,jeune adulte,220.29,ID0001
1,1.0,1.0,male,1.0,2.0,151.55,S,11,,781,ON,enfant,138.02,ID0002
2,1.0,0.0,female,1.0,2.0,151.55,S,,,781,ON,enfant,148.4,ID0003
3,1.0,0.0,male,1.0,2.0,151.55,S,,135.0,781,ON,jeune adulte,141.47,ID0004
4,1.0,0.0,female,1.0,2.0,151.55,S,,,781,ON,jeune adulte,161.31,ID0005
5,1.0,1.0,male,0.0,0.0,26.55,S,3,,952,NY,adulte,27.61,ID0006
6,1.0,1.0,female,1.0,0.0,77.9583,S,10,,502,NY,senior,83.93,ID0007
7,1.0,0.0,male,0.0,0.0,0.0,S,,,050,NI,adulte,0.0,ID0008
8,1.0,1.0,female,2.0,0.0,51.4792,S,D,,769,NY,adulte,54.31,ID0009
9,1.0,0.0,male,0.0,0.0,49.5042,C,,22.0,609,Uruguay,senior,54.4,ID0010
10,1.0,0.0,male,1.0,0.0,227.525,C,,124.0,757,NY,adulte,232.75,ID0011
11,1.0,1.0,female,1.0,0.0,227.525,C,4,,757,NY,ado,206.46,ID0012
12,1.0,1.0,female,0.0,0.0,69.3,C,9,,477,France,jeune adulte,62.57,ID0013
13,1.0,1.0,female,0.0,0.0,78.85,S,6,,877,,jeune adulte,76.36,ID0014
14,1.0,1.0,male,0.0,0.0,30.0,S,B,,042,Yorks,senior,31.94,ID0015
15,1.0,0.0,male,0.0,0.0,25.925,S,,,318,NY,,27.82,ID0016
16,1.0,0.0,male,0.0,1.0,247.5208,C,,,558,PQ,jeune adulte,270.33,ID0017
17,1.0,1.0,female,0.0,1.0,247.5208,C,6,,558,PQ,adulte,225.99,ID0018
18,1.0,1.0,female,0.0,0.0,76.2917,C,8,,813,,jeune adulte,69.34,ID0019
19,1.0,0.0,male,0.0,0.0,75.2417,C,A,,050,MN,adulte,81.46,ID0020
20,1.0,1.0,male,1.0,1.0,52.5542,S,5,,751,NY,adulte,50.51,ID0021
21,1.0,1.0,female,1.0,1.0,52.5542,S,5,,751,NY,adulte,53.16,ID0022
22,1.0,1.0,male,0.0,0.0,30.0,C,5,,369,NY,jeune adulte,32.89,ID0023
23,1.0,1.0,female,0.0,0.0,227.525,C,4,,757,,adulte,222.99,ID0024
24,1.0,1.0,female,0.0,0.0,221.7792,S,8,,483,,jeune adulte,229.14,ID0025
25,1.0,0.0,male,0.0,0.0,26.0,C,,148.0,905,CA,jeune adulte,25.48,ID0026
26,1.0,1.0,male,1.0,0.0,91.0792,C,7,,967,MI,jeune adulte,95.96,ID0027
27,1.0,1.0,female,1.0,0.0,91.0792,C,7,,967,MI,jeune adulte,91.58,ID0028
28,1.0,1.0,female,0.0,0.0,135.6333,S,8,,760,,jeune adulte,128.51,ID0029
29,1.0,1.0,male,0.0,0.0,26.55,S,D,,564,DC,jeune adulte,25.34,ID0030
30,1.0,0.0,male,0.0,0.0,35.5,S,,,784,NJ,adulte,33.78,ID0031
31,1.0,1.0,male,0.0,0.0,31.0,C,7,,277,NJ,adulte,31.2,ID0032
32,1.0,1.0,female,0.0,0.0,164.8667,S,8,,928,OH,jeune adulte,171.57,ID0033
33,1.0,1.0,female,0.0,0.0,26.55,S,8,,783,Ohio,adulte,28.94,ID0034
34,1.0,0.0,male,0.0,0.0,26.55,S,,,489,MB,adulte,27.58,ID0035
35,1.0,1.0,female,0.0,0.0,262.375,C,4,,608,NY,adulte,277.13,ID0036
36,1.0,1.0,female,0.0,1.0,55.0,S,6,,505,England Ohio,jeune adulte,51.36,ID0037
37,1.0,1.0,male,0.0,0.0,26.55,S,9,,427,CA,,25.88,ID0038
38,1.0,0.0,male,0.0,0.0,30.5,S,,,054,WA,adulte,29.97,ID0039
39,1.0,0.0,male,0.0,0.0,50.4958,C,,208.0,591,NE,adulte,52.38,ID0040
40,1.0,0.0,male,0.0,0.0,39.6,C,,,379,PA,,37.98,ID0041
41,1.0,1.0,female,0.0,0.0,27.7208,C,6,,610,CO,adulte,26.63,ID0042
42,1.0,1.0,female,2.0,0.0,51.4792,S,D,,769,MA,adulte,50.0,ID0043
43,1.0,1.0,female,0.0,0.0,76.2917,C,8,,813,PA,adulte,81.03,ID0044
